ID	Num Entries
GO:0009892	63752
GO:0009893	104533
GO:0009894	13372
GO:0009896	5745
GO:0009966	54328
GO:0009967	25234
GO:0009968	16948
GO:0009986	10276
GO:0009987	1733730
GO:0009988	464
GO:0010008	4594
GO:0010033	70838
GO:0010388	497
GO:0010467	259699
GO:0010468	177387
GO:0010494	690
GO:0010498	18478
GO:0010499	1611
GO:0010556	173088
GO:0010557	35555
GO:0010558	29784
GO:0010564	9447
GO:0010565	2619
GO:0010604	70517
GO:0010605	56664
GO:0010608	11401
GO:0010628	36991
GO:0010629	32066
GO:0010638	8255
GO:0010646	63543
GO:0010647	28500
GO:0010648	18472
GO:0010821	3026
GO:0010822	1759
GO:0010941	28897
GO:0010942	8233
GO:0010948	3253
GO:0012501	42180
GO:0012505	92111
GO:0012506	4890
GO:0015031	43854
GO:0015078	5580
GO:0015399	10602
GO:0015405	10586
GO:0015629	9161
GO:0015630	27575
GO:0015672	44879
GO:0015931	5677
GO:0015934	8308
GO:0015935	6064
GO:0015980	8996
GO:0015985	1578
GO:0015986	1578
GO:0015992	14348
GO:0016020	363109
GO:0016021	135797
GO:0016023	28207
GO:0016032	5909
GO:0016043	220280
GO:0016051	7487
GO:0016070	225608
GO:0016071	18999
GO:0016072	14088
GO:0016192	51769
GO:0016234	638
GO:0016265	44754
GO:0016363	664
GO:0016462	76990
GO:0016469	3133
GO:0016482	24219
GO:0016491	92839
GO:0016567	32757
GO:0016604	2958
GO:0016607	1158
GO:0016620	5882
GO:0016717	325
GO:0016787	221771
GO:0016817	78077
GO:0016818	77539
GO:0016820	10488
GO:0016875	6929
GO:0016876	6928
GO:0016887	33715
GO:0017016	3891
GO:0017022	625
GO:0017025	884
GO:0017038	5568
GO:0017076	62814
GO:0017101	84
GO:0017111	74705
GO:0018130	188120
GO:0018193	52496
GO:0018196	474
GO:0018279	461
GO:0019001	17561
GO:0019003	6250
GO:0019005	1961
GO:0019012	845
GO:0019013	120
GO:0019028	255
GO:0019058	3686
GO:0019068	400
GO:0019080	628
GO:0019082	63
GO:0019083	563
GO:0019222	307391
GO:0019318	5579
GO:0019362	6025
GO:0019438	184514
GO:0019439	15628
GO:0019538	413463
GO:0019637	54259
GO:0019674	1400
GO:0019693	21701
GO:0019752	62179
GO:0019773	360
GO:0019829	3752
GO:0019843	3133
GO:0019866	11536
GO:0019882	2619
GO:0019884	889
GO:0019885	176
GO:0019897	3929
GO:0019899	27152
GO:0019900	6810
GO:0019901	6018
GO:0019904	5861
GO:0019941	22151
GO:0019985	730
GO:0021762	277
GO:0022402	37209
GO:0022403	144
GO:0022411	9498
GO:0022607	56670
GO:0022613	26156
GO:0022618	8407
GO:0022624	1815
GO:0022625	5747
GO:0022626	10209
GO:0022627	3711
GO:0022804	23881
GO:0022892	79980
GO:0022900	3042
GO:0022904	2473
GO:0023026	119
GO:0023051	62012
GO:0023052	306699
GO:0023056	27775
GO:0023057	18360
GO:0030016	3111
GO:0030017	2435
GO:0030054	19553
GO:0030055	4101
GO:0030111	3941
GO:0030117	2947
GO:0030120	1428
GO:0030126	599
GO:0030135	3701
GO:0030137	723
GO:0030139	2938
GO:0030162	19585
GO:0030163	35040
GO:0030168	1500
GO:0030175	927
GO:0030176	3172
GO:0030177	1535
GO:0030178	1986
GO:0030286	852
GO:0030330	774
GO:0030433	2034
