#PROTEIN	GENE ID
REV	5111
REV	72
REV	6158
REV	6152
REV	6194
REV	6134
REV	3008
REV	6206
REV	6160
REV	6137
REV	6143
REV	6124
REV	6187
REV	8348
REV	6169
REV	9188
REV	6217
REV	4869
REV	6205
REV	6132
REV	23012
REV	6192
REV	6139
REV	10376
REV	54732
REV	3185
REV	3832
REV	6130
REV	6136
REV	6135
REV	26986
REV	3445
REV	6132
REV	3187
REV	3182
REV	6194
REV	6147
REV	6636
REV	10189
REV	4736
REV	6188
REV	6143
REV	6146
REV	9256
REV	2079
REV	23450
REV	6230
REV	904
REV	23521
REV	6164
REV	85021
REV	1660
REV	84844
REV	6176
REV	6181
REV	6175
REV	6233
REV	6223
REV	6161
REV	57062
REV	10528
REV	6155
REV	4670
REV	6142
REV	6154
REV	5814
REV	4904
REV	2316
REV	6138
REV	8106
REV	5495
REV	10643
REV	6122
REV	4809
REV	3178
REV	85236
REV	8360;8368;8367;8361;8364;8294;8366;554313;8362;8363;8370;121504;8359;8365
REV	6128
REV	6189
REV	10419
REV	6726
REV	8335;3012
REV	4343
REV	55681
REV	6134
REV	55651
REV	11329
REV	6156
REV	6141
REV	3312
REV	23451
REV	3190
REV	9188
REV	10949
REV	6173
REV	6165
REV	9967
REV	5034
REV	3181
REV	11103
REV	140032
REV	65095
REV	6160
REV	3609
REV	6209
REV	11100
REV	7150
REV	6208
REV	10521
REV	6218
REV	23076
REV	6222
REV	6166
REV	10236
REV	8971
REV	6129
REV	79084
REV	3192
REV	3006
REV	6191
REV	6229
REV	10262
REV	6207
REV	3184
REV	6780
REV	9045
REV	6426
REV	6159
REV	8241
REV	23234
REV	10972
REV	6737
REV	6168
REV	10992
REV	6205
REV	26135
REV	6206
REV	6193
REV	6203
REV	6137
REV	6202
REV	6124
REV	6210
REV	1025
REV	6217
REV	54442
REV	11224
REV	6157
REV	6125
REV	6144
REV	6158
REV	6187
REV	3739
REV	1655
REV	27067
REV	84267
REV	1460
REV	10075
REV	3009
REV	10625
REV	3007
REV	1975
REV	4691
REV	6741
REV	203068
REV	3309
REV	6605
REV	23012
REV	6230
REV	6139
REV	6742
REV	5096
REV	10376
REV	5095
REV	54732
REV	3185
REV	6193
REV	7280
REV	6597
REV	3183
REV	7818
REV	2950
REV	3320
REV	6135
REV	347733
REV	26986
REV	5209
REV	6132
REV	3187
REV	3857
REV	6234
REV	6147
REV	6155
REV	6635
REV	226
REV	3190
REV	9733
REV	6428
REV	10189
REV	51635
REV	3843
REV	55037
REV	192111
REV	4736
REV	6152
REV	10576
REV	51373
REV	6188
REV	51081
REV	10935
REV	4691
REV	8329;8330;8336;8969;8332
REV	9588
REV	2079
REV	5631
REV	23450
REV	1984
REV	1207
REV	7311;7314;6233;7316
REV	5635
REV	11018
REV	60
REV	9535
REV	10627
REV	6133
REV	3849
REV	1660
REV	28971
REV	6176
REV	6181
REV	64965
REV	6175
REV	6233
REV	6223
REV	6130
REV	4673
REV	25842
REV	196528
REV	221823
REV	10419
REV	6205
REV	6136
REV	6154
REV	6229
REV	3192
REV	2316
REV	5685
REV	5093
REV	10959
REV	9532
REV	81892
REV	8106
REV	5495
REV	388697
REV	3301
REV	1213
REV	64087
REV	10492
REV	6500
REV	86
REV	3178
REV	85236
REV	3191
REV	6874
REV	10921
REV	8360;8368;8367;8361;8364;8294;8366;554313;8362;8363;8370;121504;8359;8365
REV	65005
REV	6189
REV	7155
REV	3921
REV	6726
REV	4627
REV	1915
REV	10155
REV	6182
REV	11329
REV	6156
REV	6737
REV	708
REV	6224
REV	3065
REV	3312
REV	25777
REV	23603
REV	6636
REV	3329
REV	5634
REV	10949
REV	3858
REV	4144
REV	10625
REV	9967
REV	5034
REV	3181
REV	65993
REV	6194
REV	4116
REV	8531
REV	22913
REV	2597
REV	58
REV	6228
REV	5928
REV	2222
REV	6208
REV	6218
REV	1655
REV	27288
REV	6222
REV	498
REV	5052
REV	9669
REV	23046
REV	3326
REV	11151
REV	10236
REV	9349
REV	5091
REV	8971
REV	1072
REV	129531
REV	2091
REV	79084
REV	4869
REV	26121
REV	3313
REV	3716
REV	1642
REV	55681
REV	220988
REV	6191
REV	3832
REV	31
REV	56945
REV	6207
REV	10528
REV	6235
REV	83732
REV	552900;654483
REV	3184
REV	70
REV	9238
REV	6166
REV	6780
REV	9045
REV	84656
REV	6232
REV	9774
REV	51121
REV	8241
REV	80321
REV	59
REV	4282
REV	10972
REV	8454
REV	10606
REV	5478
REV	6168
REV	10382
REV	6134
REV	262
REV	4637
REV	102724594;7307
REV	10575
REV	4670
REV	26135
REV	92597
REV	6204
REV	6595
REV	6203
REV	6201
REV	6202
REV	6210
REV	222068
REV	10128
REV	6217
REV	51479
REV	1938
REV	829
REV	6142
REV	6157
REV	6125
REV	3848
REV	10383
REV	6144
REV	6158
REV	9793
REV	9775
REV	1629
REV	6187
REV	83743
REV	5110
REV	5636
REV	10075
