#	rank	protein_a	protein_b	d_AB	s_AB
104	CA [Jurkat]	HA [Flu]	1.34104046243	0.0409134403483
105	NEF [Jurkat]	NEP [Flu]	1.28326996198	0.0418715158063
106	PB2 [Flu]	VPR [Jurkat]	1.25433526012	0.0434059926796
107	GP120 [Jurkat]	PB2 [Flu]	1.25129982669	0.0435536948281
108	P6 [Jurkat]	PB2 [Flu]	1.27272727273	0.0458761693403
109	NEF [Jurkat]	PB2 [Flu]	1.2593250444	0.0462803857922
110	NC [Jurkat]	PB2 [Flu]	1.26972010178	0.0466843571485
111	GP120 [Jurkat]	PA [Flu]	1.28037383178	0.0470028389781
112	NEF [Jurkat]	PA [Flu]	1.28598848369	0.0473189641365
113	NEP [Flu]	VIF [Jurkat]	1.25405405405	0.0484963342774
114	NA [Flu]	NCC [Jurkat]	1.40657698057	0.0496610650959
115	PA [Flu]	RT [Jurkat]	1.30396475771	0.0517917235471
116	GAG [Jurkat]	PB1 [Flu]	1.26693227092	0.052259409902
117	NA [Flu]	NC [Jurkat]	1.41885964912	0.0546279503624
118	PB1 [Flu]	PR [Jurkat]	1.29841897233	0.0577066015928
119	CA [Jurkat]	NEP [Flu]	1.29436325678	0.0584450168099
120	PA [Flu]	PR [Jurkat]	1.30425531915	0.0620701943597
121	GP41 [Jurkat]	NS1 [Flu]	1.37847222222	0.0651606174534
122	CA [Jurkat]	PA [Flu]	1.29957805907	0.0663887457189
123	GP160 [Jurkat]	PB1 [Flu]	1.32727272727	0.0689494827207
124	HA [Flu]	NC [Jurkat]	1.38636363636	0.0707653220684
125	NEP [Flu]	RT [Jurkat]	1.32679738562	0.0718954248366
126	CA [Jurkat]	PB1 [Flu]	1.30588235294	0.0741657936384
127	MA [Jurkat]	NEP [Flu]	1.31991051454	0.0743009663743
128	HA [Flu]	TAT [Jurkat]	1.38146551724	0.0754774147132
129	PB1 [Flu]	RT [Jurkat]	1.32857142857	0.0778711484594
130	GAG [Jurkat]	PB2 [Flu]	1.26968503937	0.0791642852417
131	GP160 [Jurkat]	PB2 [Flu]	1.31423895254	0.0800678148707
132	PB2 [Flu]	PR [Jurkat]	1.298828125	0.0822678611467
