#	rank	protein_a	protein_b	d_AB	s_AB
173	CA [HEK]	GP41 [HEK]	1.24307692308	-0.204978850686
174	M2 [Flu]	NEF [HEK]	1.11440107672	-0.199908315549
175	IN [HEK]	NC [HEK]	0.988954970263	-0.196709365401
176	PR [HEK]	p6 [HEK]	1.08510638298	-0.193339129842
177	M2 [Flu]	VIF [HEK]	1.0621761658	-0.191635023008
178	CA [HEK]	GP160 [HEK]	1.21717171717	-0.190296067334
179	GP160 [HEK]	p6 [HEK]	1.11034482759	-0.189940939375
180	IN [HEK]	M2 [Flu]	1.08678756477	-0.188876770897
181	P6 [HEK]	VIF [HEK]	0.982683982684	-0.188565222656
182	GP160 [HEK]	NC [HEK]	1.03283898305	-0.185155117244
183	M2 [Flu]	PB2 [Flu]	1.12389380531	-0.184811230661
184	CA [HEK]	RT [HEK]	1.19058823529	-0.180407188047
185	VPR [HEK]	p6 [HEK]	1.13157894737	-0.179879385965
186	GAG [HEK]	P6 [HEK]	1.03678474114	-0.164454254177
187	GP41 [HEK]	REV [HEK]	1.09451795841	-0.163431219748
188	M2 [Flu]	POL [HEK]	1.1104	-0.163129411765
189	GP41 [HEK]	NA [Flu]	1.25744680851	-0.161036271141
190	GP120 [HEK]	REV [HEK]	1.05123339658	-0.157982176872
191	M2 [Flu]	Pol [HEK]	1.11048689139	-0.155860414003
192	GP120 [HEK]	NA [Flu]	1.21459227468	-0.155157200269
193	GP120 [HEK]	HA [Flu]	1.16748768473	-0.153628405753
194	M2 [Flu]	VPR [HEK]	1.16607142857	-0.153095238095
195	GP41 [HEK]	TAT [HEK]	1.09344115004	-0.152714904004
196	CA [HEK]	VPR [HEK]	1.26858513189	-0.150055218983
197	HA [Flu]	NEF [HEK]	1.18686131387	-0.14871568403
198	NS1 [Flu]	RT [HEK]	1.13226452906	-0.140096904729
199	GP41 [HEK]	NC [HEK]	1.12256586483	-0.136016224718
200	GP120 [HEK]	TAT [HEK]	1.06311992786	-0.134302521483
201	M2 [Flu]	VPU [HEK]	1.1796875	-0.134176136364
202	NA [Flu]	Pol [HEK]	1.2052238806	-0.131024414891
203	GP41 [HEK]	HA [Flu]	1.23902439024	-0.130825304942
204	HA [Flu]	IN [HEK]	1.17366946779	-0.123262473511
205	HA [Flu]	Pol [HEK]	1.17016806723	-0.117446843796
206	HA [Flu]	VIF [HEK]	1.15826330532	-0.116815489123
207	M2 [Flu]	PB1 [Flu]	1.21621621622	-0.116640926641
208	NC [HEK]	P6 [HEK]	1.09228650138	-0.115151515152
209	NA [Flu]	VPR [HEK]	1.2793594306	-0.109708226161
210	GP160 [HEK]	M2 [Flu]	1.20037105751	-0.107623042781
211	VPU [HEK]	p6 [HEK]	1.20149253731	-0.104662765717
212	M2 [Flu]	PR [HEK]	1.18263473054	-0.103519115615
213	GP120 [HEK]	NC [HEK]	1.10932105869	-0.10052742616
214	NA [Flu]	PB2 [Flu]	1.27859237537	-0.100013650704
215	NA [Flu]	RT [HEK]	1.24210526316	-0.0993174660715
216	HA [Flu]	PB2 [Flu]	1.2384341637	-0.091538477904
217	MA [HEK]	NS1 [Flu]	1.20581113801	-0.0914115353654
218	POL [HEK]	p6 [HEK]	1.17466410749	-0.0911569709458
219	NS1 [Flu]	VIF [HEK]	1.16358463727	-0.0910662461988
220	NS1 [Flu]	POL [HEK]	1.18525179856	-0.08911730786
221	NS1 [Flu]	Pol [HEK]	1.17849462366	-0.0886923763898
222	CA [HEK]	PR [HEK]	1.29714285714	-0.0884846732215
223	VIF [HEK]	p6 [HEK]	1.15868263473	-0.0874202207473
224	NC [HEK]	NS1 [Flu]	1.20652173913	-0.0843179555261
225	HA [Flu]	VPU [HEK]	1.25429553265	-0.0808357093514
226	NA [Flu]	PR [HEK]	1.27611940299	-0.0799354332678
227	GAG [HEK]	p6 [HEK]	1.19746121298	-0.0786314324835
228	HA [Flu]	PB1 [Flu]	1.27636363636	-0.0777611121273
229	HA [Flu]	POL [HEK]	1.21869488536	-0.076102132037
230	CA [HEK]	VPU [HEK]	1.33802816901	-0.0753091515601
231	NC [HEK]	PB1 [Flu]	1.17073170732	-0.0721254355401
232	GP120 [HEK]	M2 [Flu]	1.23275862069	-0.0670898641588
233	NS1 [Flu]	PR [HEK]	1.2203672788	-0.0666262620123
234	GAG [HEK]	NS1 [Flu]	1.22043010753	-0.0642105659224
235	P6 [HEK]	REV [HEK]	1.14709110867	-0.0597139964647
236	M2 [Flu]	RT [HEK]	1.21478873239	-0.0567330067361
237	PB1 [Flu]	POL [HEK]	1.17025089606	-0.0561356585645
238	GP41 [HEK]	M2 [Flu]	1.29487179487	-0.0537102946804
239	NC [HEK]	PA [Flu]	1.19230769231	-0.0520222045995
240	NC [HEK]	NEP [Flu]	1.19519094767	-0.0518678758632
241	HA [Flu]	VPR [HEK]	1.29083665339	-0.049597618914
242	CA [HEK]	POL [HEK]	1.32365145228	-0.0493516436931
243	NC [HEK]	PB2 [Flu]	1.17069892473	-0.04800611124
244	PB1 [Flu]	RT [HEK]	1.17764471058	-0.0467341714087
245	PB2 [Flu]	VIF [HEK]	1.13924050633	-0.0432757184533
246	CA [HEK]	VIF [HEK]	1.31001589825	-0.0432689747705
247	PB2 [Flu]	Pol [HEK]	1.15221987315	-0.0428324682103
248	GP160 [HEK]	PB1 [Flu]	1.21822033898	-0.0426309041691
249	PB2 [Flu]	RT [HEK]	1.15779092702	-0.04243584808
250	GAG [HEK]	PB1 [Flu]	1.19436997319	-0.0422881484596
251	NEF [HEK]	NS1 [Flu]	1.27448071217	-0.0406683747555
252	CA [HEK]	GAG [HEK]	1.34328358209	-0.0399910809138
253	NEF [HEK]	P6 [HEK]	1.19277108434	-0.0389763244568
254	PB1 [Flu]	Pol [HEK]	1.18415417559	-0.0350502726575
255	MA [HEK]	PB1 [Flu]	1.21445783133	-0.0347822902552
256	IN [HEK]	P6 [HEK]	1.15873015873	-0.0343721934631
257	NC [HEK]	p6 [HEK]	1.2482168331	-0.0340748335711
258	NEP [Flu]	RT [HEK]	1.19574468085	-0.0328358818088
259	MA [HEK]	PB2 [Flu]	1.19239904988	-0.0326889648134
260	PB2 [Flu]	POL [HEK]	1.17021276596	-0.0320216817785
261	NS1 [Flu]	TAT [HEK]	1.24692622951	-0.0314874296453
262	PB1 [Flu]	VIF [HEK]	1.17588652482	-0.0307818068456
263	NS1 [Flu]	REV [HEK]	1.25950054289	-0.0307062403759
264	PB1 [Flu]	REV [HEK]	1.21451787649	-0.027706354975
265	PB1 [Flu]	PR [HEK]	1.21297836938	-0.0260326196266
266	GP160 [HEK]	NS1 [Flu]	1.2829787234	-0.0258550715472
267	M2 [Flu]	NEP [Flu]	1.31125827815	-0.0258005453837
268	GAG [HEK]	PA [Flu]	1.21408450704	-0.0240463686578
269	NS1 [Flu]	VPU [HEK]	1.29071803853	-0.0239852924912
270	PA [Flu]	RT [HEK]	1.20215053763	-0.0237010984032
271	NA [Flu]	TAT [HEK]	1.32473734479	-0.0227376098014
272	GP160 [HEK]	PB2 [Flu]	1.22175732218	-0.0149418140905
273	NA [Flu]	PB1 [Flu]	1.38805970149	-0.0146984314636
274	M2 [Flu]	PA [Flu]	1.31986531987	-0.0144645770419
275	MA [HEK]	NEP [Flu]	1.23958333333	-0.0138584689195
276	IN [HEK]	NS1 [Flu]	1.26315789474	-0.013346135584
277	IN [HEK]	p6 [HEK]	1.25598802395	-0.0119679783789
278	GAG [HEK]	PB2 [Flu]	1.20079787234	-0.0117081424236
279	MA [HEK]	PA [Flu]	1.2401055409	-0.0106073347335
280	GAG [HEK]	NEP [Flu]	1.23216783217	-0.0086919701544
281	HA [Flu]	RT [HEK]	1.2862745098	-0.00651483496032
282	HA [Flu]	NEP [Flu]	1.35245901639	-0.00586741276977
283	PA [Flu]	POL [HEK]	1.22413793103	-0.00372137763744
284	PB1 [Flu]	VPR [HEK]	1.26977687627	-0.00224693325606
285	NEF [HEK]	p6 [HEK]	1.30672926448	0.000128205543883
286	PB1 [Flu]	VPU [HEK]	1.2687609075	0.00204012828358
287	PA [Flu]	Pol [HEK]	1.22737819026	0.00670098795878
288	GP120 [HEK]	PB1 [Flu]	1.25944584383	0.00674021612309
289	HA [Flu]	PR [HEK]	1.31475409836	0.00733264657301
290	PB1 [Flu]	TAT [HEK]	1.23926380368	0.0088326963268
291	PB2 [Flu]	REV [HEK]	1.22712594187	0.00905381729416
292	MA [HEK]	NA [Flu]	1.37809917355	0.0118152047313
293	M2 [Flu]	TAT [HEK]	1.28995215311	0.012378188613
294	PA [Flu]	PR [HEK]	1.25309734513	0.0126136020717
295	PB2 [Flu]	PR [HEK]	1.23064250412	0.0157836219935
296	NA [Flu]	NEP [Flu]	1.42434210526	0.0173822916347
297	NA [Flu]	REV [HEK]	1.37903225806	0.0197641793579
298	NEP [Flu]	REV [HEK]	1.2668161435	0.0203902313608
299	NA [Flu]	NC [HEK]	1.38042131351	0.0205203234078
300	REV [HEK]	p6 [HEK]	1.30248306998	0.0208243147032
301	M2 [Flu]	MA [HEK]	1.31742738589	0.0210444071687
302	PB2 [Flu]	TAT [HEK]	1.22764227642	0.0213632759545
303	NS1 [Flu]	p6 [HEK]	1.39647577093	0.023344409602
304	PA [Flu]	REV [HEK]	1.26832018038	0.0246231948685
305	GP120 [HEK]	NS1 [Flu]	1.32658227848	0.025894098976
306	NS1 [Flu]	VPR [HEK]	1.34623217923	0.0262258179029
307	CA [HEK]	IN [HEK]	1.40222575517	0.0270877352921
308	NS1 [Flu]	P6 [HEK]	1.3253968254	0.0271191142114
309	P6 [HEK]	TAT [HEK]	1.22360248447	0.0285905034461
310	GAG [HEK]	M2 [Flu]	1.31242312423	0.0286221454384
311	NEP [Flu]	PR [HEK]	1.27192982456	0.0287171548781
312	NEP [Flu]	POL [HEK]	1.25996204934	0.0293738140417
313	CA [HEK]	NEF [HEK]	1.445	0.0312169235243
314	PA [Flu]	VPU [HEK]	1.29981378026	0.0316202469899
