# This file contains a filtered version of the Human Interactome that includes
# only the yeast two-hybrd interactions ("Binary interactions").
# gene_ID_1	 gene_ID_2	data_source(s)
10980	2033	binary;literature;signaling
467	7157	regulatory;binary;literature;signaling
10403	11130	binary;literature
267	7334	binary;literature
403	9094	binary;literature;signaling
95	95	binary;literature
51604	65110	binary;literature
3667	780	binary;literature
51729	55322	binary;literature
151636	7324	binary;literature
4086	4739	binary;literature;signaling
1173	9779	binary;literature;signaling
10094	1030	binary;literature;signaling
23468	3930	binary;literature;signaling
379	9094	binary;literature;signaling
7248	8665	binary;literature
10094	55593	binary;literature
83878	89885	binary;literature;signaling
11325	9400	binary;literature
2547	7391	binary;literature
472	7013	binary;literature;signaling;kinase
7187	958	binary;literature;signaling
5795	8502	binary;literature
55660	7329	binary;literature;signaling
6310	9253	binary;literature;signaling
126393	26353	binary;literature
10204	23636	binary;literature;signaling
7917	84223	binary;literature
2690	5780	binary;literature
2130	55249	binary;literature;signaling
25	79890	binary;literature
51700	8161	binary;literature;signaling
23114	4690	binary;literature
29925	29926	binary;literature
26150	7186	binary;literature;signaling
7494	7494	binary;literature
23025	23136	binary;literature
1400	4931	binary;literature
5359	64773	binary;literature
65991	8975	binary;literature;signaling
23582	6929	binary;literature
369	5605	binary;literature;signaling
11161	355	binary;literature;signaling
1173	9513	binary;literature;signaling
10241	5682	binary;literature
81890	9094	binary;literature;signaling
117144	4188	binary;literature;signaling
1031	7088	binary;literature;signaling
4171	55388	binary;literature;signaling
22981	9726	binary;literature;signaling
2002	5595	binary;literature;signaling;kinase
7329	9189	binary;literature;signaling
10524	5802	binary;literature;signaling
116985	8797	binary;literature
255488	29089	binary;literature
5365	9826	binary;literature;signaling
1432	9972	binary;literature
11345	90678	binary;literature;signaling
1937	55803	binary;literature
347733	79020	binary;signaling
4830	4833	binary;literature;signaling
4189	6624	binary;literature;signaling
25813	54927	binary;literature
2534	51428	binary;literature
1937	2237	binary;literature;signaling
57142	8775	binary;literature;signaling
25920	4690	binary;literature
5290	8878	binary;literature
51171	51171	binary;literature
331	7336	binary;literature
114823	6606	binary;literature;signaling
10617	57132	binary;literature;signaling
196513	80153	binary;literature
1487	93986	binary;literature
29978	55660	binary;literature;signaling
84528	9802	binary;literature;signaling
80321	8500	binary;literature
6498	7980	binary;literature;signaling
10989	27185	binary;literature
10024	373	binary;literature
51003	80304	binary;literature;signaling
51588	5764	binary;literature;signaling
54	6118	binary;literature;signaling
55299	7321	binary;literature
1490	2335	binary;literature
2597	5052	binary;literature;signaling
1956	3667	binary;literature
10302	9111	binary;literature;signaling
1822	9139	binary;literature;signaling
50618	56647	binary;literature;signaling
197131	56901	binary;literature;signaling
5050	9869	binary;literature;signaling
2065	84256	binary;literature;signaling
11007	51138	binary;literature;signaling
2948	84966	binary;literature;signaling
2512	5911	binary;literature
7159	9094	binary;literature;signaling
202559	91746	binary;literature
84705	9129	binary;literature;signaling
10477	4281	binary;literature
64320	7321	binary;literature
51451	9513	binary;literature;signaling
4188	84752	binary;literature
10617	2885	binary;literature;signaling
56893	8883	binary;literature;signaling
347733	5272	binary;signaling
22954	29979	binary;literature;signaling
1029	5500	binary;literature
5147	998	binary;literature;signaling
5764	8665	binary;literature;signaling
10262	25	binary;literature
5684	5692	binary;literature;complexes
51760	54840	binary;literature;signaling
2175	2885	binary;literature
1363	26073	binary;literature;signaling
29894	7916	binary;literature;signaling
3185	54715	binary;literature;signaling
3178	54464	binary;literature;signaling
23390	6857	binary;literature;signaling
5147	5872	binary;literature;signaling
55183	9587	binary;literature
6117	6919	binary;literature;signaling
1915	25855	binary;literature;signaling
6498	9784	binary;literature;signaling
11284	58529	binary;literature;signaling
4860	55791	binary;literature;signaling
55700	84060	binary;literature;signaling
3480	7531	binary;literature;signaling
2064	9479	binary;literature
2962	9947	binary;literature
23429	4193	binary;literature
10567	5090	binary;literature
699	9184	binary;literature;signaling;kinase
2065	25	binary;literature
25978	9101	binary;literature
3480	8660	binary;literature;signaling
2261	9887	binary;literature;signaling
10391	8848	binary;literature;signaling
164	8905	binary;literature;complexes
25876	79666	binary;literature;signaling
4690	5775	binary;literature
27111	54458	binary;literature;signaling
51759	6829	binary;literature;signaling
1051	4088	binary;literature;signaling
26353	8988	binary;literature
10256	9265	binary;literature;signaling
54542	7334	binary;literature
2334	4690	binary;literature
116461	84224	binary;literature;signaling
2592	9319	binary;literature
1345	5764	binary;literature
54472	9869	binary;literature;signaling
6866	9638	binary;literature;signaling
10951	7345	binary;literature;signaling
283518	9513	binary;literature
2534	9103	binary;literature
2202	8328	binary;literature;signaling
54507	83755	binary;literature;signaling
130540	5295	binary;literature
26037	9378	binary;literature;signaling
