#PROTEIN	GENE ID
NC	1660
NC	3608
NC	10155
NC	10992
NC	11103
NC	705
NC	9698
NC	9733
NC	6150
NC	221092
NC	55720
NC	23367
NC	56829
NC	54534
NC	23234
NC	10240
NC	10342
NC	10521
NC	7874
NC	116540
NC	83759
NC	83743
NC	84311
NC	11100
NC	83443
NC	65008
NC	552900;654483
NC	79724
NC	9188
NC	63875
NC	51264
NC	28957
NC	51373
NC	51116
NC	65003
NC	51023
NC	51649
NC	11171
NC	28973
NC	63931
NC	343069
NC	7812
NC	3848
NC	8335;3012
NC	6176
NC	6181
NC	6175
NC	4869
NC	203068
NC	3303;3304
NC	8329;8330;8336;8969;8332
NC	3008
NC	3312
NC	2547
NC	7520
NC	6050
NC	6187
NC	1655
NC	6139
NC	4691
NC	3013
NC	6188
NC	6206
NC	6134
NC	5594
NC	6136
NC	3857
NC	2201
NC	2521
NC	6124
NC	3313
NC	6223
NC	6122
NC	6125
NC	6204
NC	6164
NC	9045
NC	9513
NC	4670
NC	3185
NC	6182
NC	6224
NC	6189
NC	6154
NC	3190
NC	6202
NC	6210
NC	6208
NC	6207
NC	6205
NC	6147
NC	6194
NC	2197
NC	6156
NC	6135
NC	6132
NC	6233
NC	4904
NC	55173
NC	64963
NC	6152
NC	6143
NC	5813
NC	3192
NC	6128
NC	2332
NC	5052
NC	6141
NC	708
NC	6431
NC	10155
NC	6150
NC	8338
NC	55720
NC	723790;8337
NC	23367
NC	56829
NC	64975
NC	196374
NC	54534
NC	84545
NC	65095
NC	23234
NC	7903
NC	10240
NC	10521
NC	116540
NC	85235
NC	8331
NC	84298
NC	11100
NC	29074
NC	26589
NC	552900;654483
NC	9188
NC	51264
NC	28957
NC	51116
NC	65003
NC	51649
NC	28973
NC	6181
NC	3008
NC	6187
NC	6129
NC	6139
NC	6206
NC	6137
NC	6134
NC	6136
NC	6124
NC	6122
NC	23521
NC	11224
NC	6157
NC	6125
NC	6144
NC	6158
NC	6203
NC	6159
NC	9045
NC	6224
NC	6189
NC	6154
NC	6138
NC	6168
NC	6202
NC	6208
NC	6228
NC	6207
NC	6205
NC	6130
NC	6191
NC	6194
NC	9349
NC	6229
NC	6156
NC	6170
NC	6160
NC	6161
NC	6135
NC	6132
NC	6233
NC	64963
