	CA [HEK]	CA [Jurkat]	GAG [HEK]	GAG [Jurkat]	GP120 [HEK]	GP120 [Jurkat]	GP160 [HEK]	GP160 [Jurkat]	GP41 [HEK]	GP41 [Jurkat]	IN [HEK]	IN [Jurkat]	MA [HEK]	MA [Jurkat]	NC [HEK]	NC [Jurkat]	NCC [Jurkat]	NEF [HEK]	NEF [Jurkat]	P6 [HEK]	P6 [Jurkat]	POL [HEK]	POL [Jurkat]	PR [HEK]	PR [Jurkat]	Pol [HEK]	REV [HEK]	REV [Jurkat]	RT [HEK]	RT [Jurkat]	TAT [HEK]	TAT [Jurkat]	VIF [HEK]	VIF [Jurkat]	VPR [HEK]	VPR [Jurkat]	VPU [HEK]	VPU [Jurkat]	p6 [HEK]
P6 [Jurkat]	0.117884889152	0.726779040891	0.392502664474	0.689240976258	0.376815009967	0.557588342212	0.378751558626	0.420171904432	0.36159493879	0.421580703105	0.339336179428	0.600439679671	0.419866578053	0.702951458737	0.261037435646	0.620671499363	0.546305928056	0.27525573742	0.655693089683	0.255107268686	1.0	0.324418351748	0.436999952689	0.383061437062	0.43614403358	0.46054712101	0.247359587521	0.634582296505	0.452850122095	0.64491280481	0.225358102712	0.614482069263	0.416248434445	0.674835341414	0.383430098787	0.562047952586	0.374603913965	0.483110625057	0.155117193621
POL [HEK]	0.0422871946967	0.293014269004	0.330732460891	0.321949419926	0.404472009971	0.395094821014	0.473248512619	0.352962079284	0.359536871961	0.253334697729	0.537806829641	0.326898581397	0.402018264775	0.309582437782	0.267900485437	0.306091543102	0.23443005526	0.504929221319	0.385545125051	0.254652574942	0.324418351748	1.0	0.402412658921	0.523511036292	0.318630751617	0.552462081202	0.310907378013	0.33336225588	0.4901644763	0.322858228144	0.331184832761	0.359205342206	0.608252507867	0.429989301637	0.501256611554	0.373132301373	0.502855958182	0.349787553284	0.078108291637
POL [Jurkat]	-0.00461493046535	0.400889468214	0.264405124086	0.393538997706	0.269911408006	0.433920949034	0.277613634418	0.454561051838	0.276862991853	0.386672600122	0.395289693205	0.430339554137	0.274405964088	0.416008284389	0.171598978946	0.368541061594	0.344390052551	0.322796026364	0.482688233826	0.106447289371	0.436999952689	0.402412658921	1.0	0.394826097311	0.55138414013	0.499590606957	0.179624188811	0.37605008025	0.335826020629	0.444636985353	0.21713513676	0.405239084242	0.401164939122	0.48886156355	0.317209708028	0.449262053506	0.363684815382	0.426698501385	0.0266017309282
PR [HEK]	0.074212951734	0.353040540541	0.367540839992	0.387153124867	0.38589090268	0.391426960791	0.386427317919	0.345229633679	0.372047110171	0.305541398517	0.450179047182	0.362780551288	0.419698009608	0.360340642676	0.282545170309	0.335425612679	0.295667857023	0.439084188564	0.424332145185	0.210625214147	0.383061437062	0.523511036292	0.394826097311	1.0	0.435971094812	0.505533369373	0.339714946819	0.420736092097	0.64731422081	0.3978000115	0.347890557095	0.411629095364	0.550377181629	0.450481592478	0.469895711879	0.402981228609	0.426927105152	0.356711752086	0.162155399222
PR [Jurkat]	0.049695923509	0.389494191243	0.236531859669	0.398192299805	0.273488429679	0.388908655067	0.270964759096	0.370413360743	0.270567175509	0.341714162242	0.331939769216	0.42546732828	0.270401730213	0.415854527926	0.138961640394	0.358499178112	0.28882875335	0.309058544258	0.467795954692	0.10397298434	0.43614403358	0.318630751617	0.55138414013	0.435971094812	1.0	0.408809264687	0.159188667917	0.354902720801	0.358450774972	0.475626905349	0.179450388424	0.356663679199	0.349825134128	0.461879416635	0.306241409672	0.410297115367	0.318129233653	0.399792540175	0.0559728135031
Pol [HEK]	0.195330164518	0.39711509694	0.332658324963	0.424340927001	0.505352289344	0.4895937975	0.502462128683	0.408581536014	0.474732638313	0.340643103561	0.515906569849	0.455634462447	0.486665793448	0.428982363818	0.225050412846	0.447396927888	0.336683986071	0.415442131716	0.486849024923	0.270026290121	0.46054712101	0.552462081202	0.499590606957	0.505533369373	0.408809264687	1.0	0.241197936259	0.431368507621	0.489159873942	0.432229026329	0.256995034717	0.472409089925	0.561833456144	0.538205207629	0.509552440834	0.459218045257	0.524513345475	0.407677484775	0.186044875666
REV [HEK]	-0.0843588261499	0.213664715365	0.65349017986	0.307363600244	0.131790833926	0.282967798757	0.17393663828	0.176572606519	0.136336497994	0.165472229884	0.27000371763	0.175484296066	0.306014585043	0.216114319252	0.703918807929	0.273804548417	0.464906444644	0.265328635313	0.264826720212	0.0498142103558	0.247359587521	0.310907378013	0.179624188811	0.339714946819	0.159188667917	0.241197936259	1.0	0.375091055908	0.383084560879	0.214313637578	0.771726027406	0.320434512686	0.402824566902	0.309866510779	0.26161196175	0.279312977099	0.323677642314	0.224175725682	-0.0173719203965
REV [Jurkat]	0.100454844499	0.547261016562	0.467123947852	0.668289522702	0.34604997056	0.477437982556	0.358209275318	0.365785108069	0.345356688654	0.327920085331	0.29861771852	0.563799440365	0.459097539015	0.573882965195	0.389906166757	0.613430986781	0.573517628458	0.247015421529	0.559050573979	0.279024093946	0.634582296505	0.33336225588	0.37605008025	0.420736092097	0.354902720801	0.431368507621	0.375091055908	1.0	0.530589873371	0.552796049791	0.344835436056	0.668854187278	0.439865746191	0.621699864546	0.360198918173	0.50040789399	0.39442153735	0.433513000252	0.162698332781
RT [HEK]	0.155116460751	0.371547693699	0.414898939144	0.433062760912	0.414867950772	0.418677388541	0.422071782306	0.316769251658	0.43086103603	0.290672701645	0.408447070124	0.363724577667	0.551907525311	0.440629082505	0.372574463794	0.427971579055	0.365629711424	0.401111583593	0.431298525727	0.329509422006	0.452850122095	0.4901644763	0.335826020629	0.64731422081	0.358450774972	0.489159873942	0.383084560879	0.530589873371	1.0	0.423727196325	0.366889871555	0.502937249667	0.546876791201	0.462302538999	0.466186574489	0.38931518545	0.457889906332	0.356295562447	0.245360672468
RT [Jurkat]	0.0248148421545	0.588099078403	0.306078803447	0.630431401736	0.385707531132	0.489574030578	0.346503489619	0.423238012033	0.366562686567	0.434585835158	0.367378739809	0.584536368467	0.322457044756	0.592466799843	0.187062628239	0.519488571858	0.425664501236	0.271215947768	0.611676343592	0.125543383323	0.64491280481	0.322858228144	0.444636985353	0.3978000115	0.475626905349	0.432229026329	0.214313637578	0.552796049791	0.423727196325	1.0	0.200273123244	0.524423906463	0.413786682388	0.59986308094	0.389992745309	0.539093871253	0.417658664089	0.520806749578	0.0570741428114
TAT [HEK]	-0.100853482841	0.203757188065	0.608962923712	0.289187673392	0.114285630064	0.295544704195	0.183554082517	0.210253997622	0.129953770276	0.168185441984	0.327188565224	0.172802946173	0.268309426943	0.194138533736	0.670778206065	0.230666745703	0.415276180184	0.330292331708	0.270809654228	-0.0243292803747	0.225358102712	0.331184832761	0.21713513676	0.347890557095	0.179450388424	0.256995034717	0.771726027406	0.344835436056	0.366889871555	0.200273123244	1.0	0.311169879643	0.430483837419	0.308720569927	0.271859120584	0.310652685301	0.329354089741	0.234726363102	-0.0552140142619
TAT [Jurkat]	0.145540962363	0.533659827757	0.437918003168	0.653055320534	0.378583529986	0.496635452383	0.36962194434	0.354598086458	0.369705825433	0.327289454788	0.286739175024	0.574200451092	0.486436000059	0.560796494703	0.360513011173	0.649017375601	0.513900061586	0.233714348323	0.575174667141	0.319888154617	0.614482069263	0.359205342206	0.405239084242	0.411629095364	0.356663679199	0.472409089925	0.320434512686	0.668854187278	0.502937249667	0.524423906463	0.311169879643	1.0	0.42925278091	0.621187041816	0.396562547057	0.491683106538	0.395608222393	0.399600892206	0.190655047451
VIF [HEK]	0.0383718659981	0.368077175175	0.453560846856	0.396407341572	0.429810961514	0.484135116921	0.477603250047	0.416369154144	0.421040093002	0.340471441981	0.647162357781	0.357746179117	0.420293614864	0.397363699104	0.341924219374	0.339145106862	0.334669212748	0.583643555405	0.495514484441	0.16722373234	0.416248434445	0.608252507867	0.401164939122	0.550377181629	0.349825134128	0.561833456144	0.402824566902	0.439865746191	0.546876791201	0.413786682388	0.430483837419	0.42925278091	1.0	0.519133578031	0.569921871975	0.531730291746	0.616841582192	0.463814539554	0.077526149252
VIF [Jurkat]	0.0780558988733	0.643190751918	0.426928091899	0.666670830108	0.41916637099	0.610360376377	0.43268767549	0.50803906263	0.385563178105	0.411251701636	0.418165608133	0.576259689731	0.404617366249	0.592715721252	0.278978160002	0.576308066692	0.506085539396	0.35961019191	0.709508339208	0.203145005351	0.674835341414	0.429989301637	0.48886156355	0.450481592478	0.461879416635	0.538205207629	0.309866510779	0.621699864546	0.462302538999	0.59986308094	0.308720569927	0.621187041816	0.519133578031	1.0	0.458719626476	0.693804057701	0.445974029353	0.48887869888	0.0932665594833
VPR [HEK]	0.119249180649	0.361397341202	0.316426017891	0.355659777077	0.50210224558	0.467104898875	0.504383905068	0.358872854054	0.490622456118	0.319871805654	0.485961573289	0.369940195154	0.397804747375	0.372697825973	0.210834052965	0.326588699438	0.262341230854	0.439288348083	0.433757153656	0.256362583148	0.383430098787	0.501256611554	0.317209708028	0.469895711879	0.306241409672	0.509552440834	0.26161196175	0.360198918173	0.466186574489	0.389992745309	0.271859120584	0.396562547057	0.569921871975	0.458719626476	1.0	0.46063364492	0.508585851703	0.381112984161	0.142950505403
VPR [Jurkat]	0.0260697231754	0.52261391503	0.356901894024	0.551241746207	0.366947882876	0.535027779983	0.395176219178	0.548475997905	0.330009633056	0.434206600008	0.447829244375	0.470289270643	0.309234122303	0.494827689268	0.238843491674	0.445278942242	0.39649788775	0.417762621802	0.625016455828	0.0909065449447	0.562047952586	0.373132301373	0.449262053506	0.402981228609	0.410297115367	0.459218045257	0.279312977099	0.50040789399	0.38931518545	0.539093871253	0.310652685301	0.491683106538	0.531730291746	0.693804057701	0.46063364492	1.0	0.440906367123	0.536059992827	0.0275278050593
VPU [HEK]	0.0603570613595	0.315730520286	0.354879917179	0.369979896167	0.43152173913	0.415650208045	0.459483987349	0.354770277281	0.44031647818	0.339458476803	0.551861844622	0.34105526202	0.419909659255	0.378403693088	0.251943779904	0.330666702794	0.293020525332	0.491004762895	0.433806651169	0.196260170735	0.374603913965	0.502855958182	0.363684815382	0.426927105152	0.318129233653	0.524513345475	0.323677642314	0.39442153735	0.457889906332	0.417658664089	0.329354089741	0.395608222393	0.616841582192	0.445974029353	0.508585851703	0.440906367123	1.0	0.473432884397	0.0838827266218
VPU [Jurkat]	-0.016007067743	0.500849138429	0.272317455105	0.429825619963	0.313505717356	0.430410830209	0.351950886928	0.464610409168	0.306067326106	0.527364367631	0.43406341932	0.408429489671	0.286447456746	0.530425944032	0.169961136177	0.361634931054	0.37807844913	0.400630491903	0.521028108707	0.0647696781615	0.483110625057	0.349787553284	0.426698501385	0.356711752086	0.399792540175	0.407677484775	0.224175725682	0.433513000252	0.356295562447	0.520806749578	0.234726363102	0.399600892206	0.463814539554	0.48887869888	0.381112984161	0.536059992827	0.473432884397	1.0	-0.00795915786991
p6 [HEK]	0.484622535234	0.086623299105	0.0662102583959	0.101844853616	0.180305383022	0.0538736553872	0.153675366225	-0.039866710302	0.162849956937	-0.0313622076659	0.0102174382578	0.136685552408	0.355824456975	0.14746787032	0.0283956946426	0.168587521328	0.0286350790038	-0.00010267789134	0.0871171652422	0.522976654178	0.155117193621	0.078108291637	0.0266017309282	0.162155399222	0.0559728135031	0.186044875666	-0.0173719203965	0.162698332781	0.245360672468	0.0570741428114	-0.0552140142619	0.190655047451	0.077526149252	0.0932665594833	0.142950505403	0.0275278050593	0.0838827266218	-0.00795915786991	1.0
